epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2682.15,0.51804,0.55507,1.13903,0.94038,0.89888,0.96025,0.81869,0.5644,0.4232,1.12921,0.0004654,0.0004654,0.0004654
56,2728.56,0.51237,0.55319,1.13504,0.94366,0.91141,0.96264,0.81755,0.58734,0.42916,1.15184,0.0004555,0.0004555,0.0004555
57,2775.14,0.51053,0.54977,1.1351,0.94621,0.9083,0.96218,0.81556,0.57881,0.42366,1.14565,0.0004456,0.0004456,0.0004456
58,2822.96,0.49936,0.53649,1.12844,0.93062,0.89865,0.95435,0.81302,0.57535,0.43448,1.14358,0.0004357,0.0004357,0.0004357
59,2871.64,0.50383,0.54583,1.13716,0.93682,0.92587,0.96344,0.82367,0.56468,0.40322,1.1362,0.0004258,0.0004258,0.0004258
60,2918.6,0.49017,0.51769,1.11962,0.92567,0.9243,0.95997,0.82112,0.56125,0.40951,1.12291,0.0004159,0.0004159,0.0004159
61,2965.17,0.50503,0.5289,1.13105,0.9355,0.90828,0.95918,0.81598,0.57963,0.42497,1.15263,0.000406,0.000406,0.000406
62,3011.87,0.50204,0.52446,1.12965,0.94802,0.91523,0.9632,0.82209,0.57438,0.40194,1.14903,0.0003961,0.0003961,0.0003961
63,3058.41,0.49849,0.52973,1.12049,0.94185,0.91569,0.96376,0.81913,0.57026,0.40539,1.13785,0.0003862,0.0003862,0.0003862
64,3105.09,0.49251,0.51837,1.12476,0.91157,0.92591,0.96023,0.82275,0.57293,0.42579,1.15028,0.0003763,0.0003763,0.0003763
65,3151.6,0.49521,0.51336,1.12219,0.92891,0.92424,0.96042,0.81427,0.57606,0.42006,1.14897,0.0003664,0.0003664,0.0003664
66,3198.09,0.48979,0.52045,1.11953,0.93822,0.92046,0.96167,0.82161,0.56606,0.42032,1.13949,0.0003565,0.0003565,0.0003565
67,3244.74,0.48891,0.51437,1.11889,0.95585,0.9101,0.96326,0.81852,0.57416,0.40603,1.15439,0.0003466,0.0003466,0.0003466
68,3291.34,0.48583,0.50341,1.11381,0.93763,0.91641,0.96147,0.8167,0.57329,0.40774,1.14282,0.0003367,0.0003367,0.0003367
69,3337.99,0.4765,0.49666,1.11309,0.93537,0.92411,0.9619,0.82103,0.57465,0.40281,1.1322,0.0003268,0.0003268,0.0003268
70,3384.51,0.47625,0.48656,1.1127,0.93476,0.91863,0.96284,0.82557,0.56489,0.39444,1.13796,0.0003169,0.0003169,0.0003169
71,3432.92,0.47565,0.48375,1.11025,0.92075,0.93171,0.96296,0.82405,0.56946,0.39189,1.13539,0.000307,0.000307,0.000307
72,3481.73,0.46603,0.48954,1.09917,0.92414,0.92055,0.95916,0.8167,0.57486,0.40952,1.13947,0.0002971,0.0002971,0.0002971
73,3528.66,0.46882,0.48534,1.10588,0.93914,0.91556,0.96119,0.82322,0.56246,0.41282,1.13394,0.0002872,0.0002872,0.0002872
74,3575.38,0.46863,0.48358,1.10689,0.93438,0.9189,0.95798,0.81424,0.57515,0.4086,1.15316,0.0002773,0.0002773,0.0002773
75,3621.8,0.46593,0.4782,1.09993,0.92128,0.92894,0.96022,0.82131,0.56951,0.40863,1.13705,0.0002674,0.0002674,0.0002674
76,3668.49,0.46345,0.48173,1.10432,0.94164,0.92054,0.96333,0.81736,0.57235,0.40466,1.14163,0.0002575,0.0002575,0.0002575
77,3714.97,0.46602,0.47628,1.1083,0.9243,0.92803,0.9615,0.81938,0.57452,0.41881,1.14884,0.0002476,0.0002476,0.0002476
78,3761.43,0.45227,0.45954,1.09133,0.94487,0.91781,0.96373,0.82564,0.56456,0.41195,1.14121,0.0002377,0.0002377,0.0002377
79,3808.19,0.464,0.4625,1.10159,0.94065,0.92397,0.96258,0.81991,0.58175,0.39722,1.1498,0.0002278,0.0002278,0.0002278
80,3856.28,0.44468,0.45202,1.08832,0.93408,0.91865,0.96315,0.82181,0.57138,0.4043,1.14819,0.0002179,0.0002179,0.0002179
81,3909.6,0.45839,0.45678,1.09971,0.92496,0.93343,0.9621,0.82361,0.56947,0.39493,1.14166,0.000208,0.000208,0.000208
82,3955.96,0.45571,0.45206,1.0923,0.92595,0.92181,0.96226,0.82206,0.56658,0.4054,1.14156,0.0001981,0.0001981,0.0001981
